Client,ASK,DT,Sp,TW,NonProd,Order Entry,ASKTax,ASKTyping,ASKSearch,ASKExam,DTBilling,DTDecorating,DTExam,DTTXExceptions,DTHOA,DTSearch,SPSearch,DTTyping,DTVMQC,TWSearch,TWTyping,,Status
ASK,OE,Billing,Search,Search,No Orders,Order Entry,TIT - Calling,Commitment Typing,2/O,PMM / CO - IL,Billing,Attorney Decision,TRGC - Quality Control,TX - Exceptions,BII,Regular/RVSI 2 Owner Search,Sp2 - 2 Owner Search,Abstract Indexing Module,Vm Quality Control,Update - Va,Typing,,Completed/Submitted
DT,Search,Decorating,,Typing,Training,Portal Entry,NONTIT - Calling,Property Processing,PMM / CO - IL,PMM / CO - IN,,Attorneydelivere,Ltc - CommitmentPrep,TX - Prior Policy,Regular/RVSI Condolienexception,Regular/RVSI Search - AZ,Sp2 - Search - AZ,Portal Typing (RVSI & SP2),Update VM QualityControl,Update - Ga,,,Hold/Suspended
Sp,Tax,Exam,,,Meeting,,TIT - Tax Search,Portal Typing,PMM / CO - IN,PMM / CO - OH,,Data Trace,,,Regular/RVSI Hoadatabase,Regular/RVSI Search - CA,Sp2 - Search - CA,Template Typing (RVSI & SP2),,Current Owner - Va,,,ContactManager
TW,Typing,HOA,,,,,NONTIT - Tax Search,Property Typing,PMM / CO - OH,PMM / CO - MI,,Delivere,,,Sp2 - Hoadatabase,Regular/RVSI Search - CO,Sp2 - Search - Co,Typing Work (RVSI & SP2),,Current Owner - Ga,,,Raised a Tickect
NonProd,Exam,Search,,,,,Ticket Order,Tax Typing - Purchase,PMM / CO - MI,Ticket Order,,Njtaxsearch,,,,Regular/RVSI Search - FL,Sp2 - Search - FL,TitleIQQualityControl (Only Typing),,Redo Search,,,Placed for Review
,,TXExceptions,,,,,DT/TW Tax Calling,Tax Typing - Refi,Updates IL,,,Oslocateproperty,,,,Regular/RVSI Search - GA,Sp2 - Search - GA,,,Two Owner - Va,,,Flipped
,,Typing,,,,,,Ticket Order,Updates - MI,,,Pacersearch,,,,Regular/RVSI Search - IL,Sp2 - Search - NV,,,Full Search - Va,,,
,,VMQC,,,,,,,Updates - OH,,,Patriot Search,,,,Regular/RVSI Search - In,Sp2 - Search - OH,,,Full Search - Ga,,,
,,,,,,,,,Updates - IN,,,Portal Upload,,,,Regular/RVSI Search - MI,Sp2 - Search - UT,,,,,,
,,,,,,,,,Document Search,,,Presearch,,,,Regular/RVSI Search - MN,Sp2 - Search - TX,,,,,,
,,,,,,,,,"Misc (MDR, TJL, UCC, ect.)",,,Signatureuppercourtcontinrequest,,,,Regular/RVSI Search - NV,Sp2 - Search - VA,,,,,,
,,,,,,,,,Ticket Order,,,Special Instructions,,,,Regular/RVSI Search - OH,Sp2 - Search - IL,,,,,,
,,,,,,,,,Preprocessing,,,Specialinstructions - M&S,,,,Regular/RVSI Search - TX,Sp2 - Search - IN,,,,,,
,,,,,,,,,,,,Tideland,,,,Regular/RVSI Search - UT,Sp2 - Search - NJ,,,,,,
,,,,,,,,,,,,Update Data Entry,,,,Regular/RVSI Search - VA,Sp2 - Search - MI,,,,,,
,,,,,,,,,,,,Updatepresearch,,,,Regular/RVSI Full Search,Sp2 - Full Search,,,,,,
,,,,,,,,,,,,Vendor Certification,,,,Regular/RVSI Full Search - IL,Sp2 - Update Search,,,,,,
,,,,,,,,,,,,,,,,Regular/RVSI Full Search - TX,Sp2 - SearchFix,,,,,,
,,,,,,,,,,,,,,,,Judgment Lien Search,Review,,,,,,
,,,,,,,,,,,,,,,,Update Search,Contact Manager,,,,,,
,,,,,,,,,,,,,,,,Regular/RVSI Search - NJ,,,,,,,
,,,,,,,,,,,,,,,,Extended Update Search (RVSI & SP2),,,,,,,
,,,,,,,,,,,,,,,,TitleIQQualityControl (including Typing),,,,,,,
,,,,,,,,,,,,,,,,TitleIQQualityControl (only Search),,,,,,,
,,,,,,,,,,,,,,,,Review,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
